date,AAPL,AMD,AMZN,CSCO,META,MSFT,NFLX,QCOM,SBUX,TSLA
2013-07-19,-0.015765342187692544,-0.13146551724137923,0.0036828779060207317,-0.0015467904098994678,-0.011420932009167273,-0.11399548532731374,-0.0068841208031824586,0.005645095312116544,0.004526869158878455,0.005469232417173897
2013-07-22,0.003202256075061971,-0.032258064516129115,-0.005733381384529723,-0.0038729666924864903,0.006336694872686621,0.01942675159235674,-0.009889778445680175,0.012203058900097652,0.0033435092309928027,0.022973667389424524
2013-07-23,-0.017175246627346374,-0.06153846153846143,-0.00797416633715553,-0.0062208398133748455,0.003263582261470388,-0.005935645110902721,-0.04466261209743805,0.0014467127471466945,-0.019704433497536922,0.0025361431021808656
2013-07-24,0.051363615100341375,-0.00819672131147553,-0.007041785690560132,0.0011737089201877549,0.014542671259089257,0.004399748585795171,-0.03580279373674866,-0.014606741573033655,-0.015518770322199171,-0.00848130812567982
2013-07-25,-0.004563801048784288,0.019283746556473913,0.014919381815748922,-0.003516998827667095,0.29607695209354956,-0.017834793491864787,0.02254622672708395,0.033067274800456126,0.023419906920882694,0.019474196689386547
2013-07-26,0.005676630035694297,0.03243243243243232,0.02837837837837842,-0.00015686274509807419,-0.01015745510637689,0.00732717425931817,-0.0017447501461052006,0.01876379690949226,0.07613319642071281,0.04288322270985212
2013-07-29,0.015422613907654759,-0.018324607329842868,-0.018941700586519672,-0.006510825227486694,0.04175242575713023,-0.0025300442757748565,-0.005479280759141836,-0.005726667698498722,-0.012404580152671763,0.040424298632042666
2013-07-30,0.012349538846334385,0.01866666666666661,-0.01205488402482846,0.013422818791946511,0.06200959638724246,0.009828788839568947,-0.004900798129981232,0.004202988792030071,-0.007177363699102823,-0.02139347276232073
2013-07-31,-0.001741815935762947,-0.01308900523560208,-0.003935055057703085,-0.003116478379431298,-0.021978898131660873,-0.0003139717425432176,0.00297219063372256,0.000806076577274828,-0.008911441679410603,0.01927653227367432
2013-08-01,0.009163583264240271,0.010610079575596787,0.014441272159883,0.011762407190308632,0.018722826086956523,-0.005339195979899403,0.018962787355087718,0.010966203029645794,0.03073405434218457,0.0094615728328864
